name,description,image,price
Vegetable Biryani,"A fragrant rice dish made with long-grain basmati rice, mixed vegetables, and a blend of aromatic spices and herbs, cooked to perfection.",https://vismaifood.com/storage/app/uploads/public/914/f47/fa9/thumb__700_0_0_0_auto.jpg,200
Paneer Butter Masala,"Soft cubes of paneer cooked in a rich and creamy tomato-based gravy with butter, cream, and a blend of Indian spices, best enjoyed with naan or rice.",https://www.kannammacooks.com/wp-content/uploads/street-style-chicken-rice-recipe-1-3.jpg,250
Aloo Gobi,"A classic North Indian dish made with potatoes (aloo) and cauliflower (gobi), sautéed with onions, tomatoes, and a mix of spices, perfect with roti or paratha.",https://www.allrecipes.com/thmb/ygY1JXP8_IkDSjPPW5VH2dTiMMU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/50347-indian-tandoori-chicken-DDMFS-4x3-3035-205e98c80b2f4275b5bd010c396d9149.jpg,180
Palak Paneer,"A nutritious and creamy dish made with fresh spinach (palak) cooked with paneer cubes in a flavorful blend of spices, ideal with steamed rice or chapati.",https://sinfullyspicy.com/wp-content/uploads/2023/01/1200-by-1200-images-5.jpg,220
Vegetable Korma,"A rich and flavorful curry made with a variety of vegetables cooked in a creamy coconut-based sauce with cashews, onions, and spices, served with rice or bread.",https://paattiskitchen.com/wp-content/uploads/2023/05/kmc_20230501_131310.jpg,230
Masala Dosa,"A popular South Indian dish made with a thin and crispy crepe-like dosa filled with a spicy potato masala, served with coconut chutney and sambar.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiTAiQvZNqrcSozJHJ7TNBugpADhWy8sJFDBNQ3CSoGh_F2eo1d4CTZRb-aMvCvuaPhmWzu3IM2zIQy-rTwsOPFUo-xZdt0LOK21frE-WfBrxiQ3KfPjCSXtzBxqZCLQo2ajH4SV6f83JHJ-gVwsr4UVbI3dqHuT01SdRI1pO5sfNrBs1hZM2Z3d-wB2g/w1200-h630-p-k-no-nu/Pepper_Chicken_Dry.jpg,150
Chana Masala,"A delicious and hearty chickpea curry made with onions, tomatoes, and a blend of spices, perfect with steamed rice, naan, or poori.","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=1080/assets/search/usecase/boneless_chilli_chicken_zdish.png",200
Dal Makhani,"A creamy and flavorful lentil dish made with black lentils (urad dal) and kidney beans (rajma), slow-cooked with butter, cream, and a mix of aromatic spices.",https://www.spiceindiaonline.com/wp-content/uploads/2021/05/Tandoori-Chicken-20.jpg,250
Gobi Manchurian,"Crispy cauliflower florets coated in a spicy and tangy Manchurian sauce made with soy sauce, garlic, ginger, and green chilies, served as a popular Indo-Chinese appetizer.",https://www.licious.in/blog/wp-content/uploads/2022/06/mutton-hyderabadi-biryani-01.jpg,180
Veg Pulao,"A fragrant and flavorful rice dish cooked with mixed vegetables, whole spices, and herbs, making it a perfect one-pot meal for lunch or dinner.",https://www.licious.in/blog/wp-content/uploads/2022/06/mutton-hyderabadi-biryani-01.jpg,190
Idli Sambar,"Soft and fluffy steamed rice cakes (idli) served with a tangy and flavorful lentil-based vegetable stew (sambar), a staple South Indian breakfast.",https://www.licious.in/blog/wp-content/uploads/2022/06/mutton-hyderabadi-biryani-01.jpg,160
Uttapam,"A thick and savory pancake made from fermented rice and lentil batter, topped with onions, tomatoes, green chilies, and coriander leaves, served with coconut chutney.",https://www.licious.in/blog/wp-content/uploads/2022/06/mutton-hyderabadi-biryani-01.jpg,170
Rava Upma,"A savory South Indian breakfast dish made with semolina (rava) cooked with onions, mustard seeds, curry leaves, and spices, served hot with coconut chutney.",https://www.licious.in/blog/wp-content/uploads/2022/06/mutton-hyderabadi-biryani-01.jpg,140
Avial,"A traditional Kerala dish made with mixed vegetables, coconut, yogurt, and spices, cooked to a thick consistency, and served with steamed rice, a must-have for Onam.",https://www.licious.in/blog/wp-content/uploads/2022/06/mutton-hyderabadi-biryani-01.jpg,220
Pesarattu,"A healthy and nutritious dosa made from green gram (moong dal) batter, served with ginger chutney or upma, popular in Andhra Pradesh.",https://www.licious.in/blog/wp-content/uploads/2022/06/mutton-hyderabadi-biryani-01.jpg,180
Sambhar Vada,"Crispy and fluffy deep-fried lentil donuts (vada) soaked in tangy and spicy sambar, a classic South Indian snack often enjoyed with coconut chutney.",https://www.licious.in/blog/wp-content/uploads/2022/06/mutton-hyderabadi-biryani-01.jpg,190
Bisi Bele Bath,"A flavorful and spicy rice dish cooked with lentils, mixed vegetables, tamarind, and a special spice blend, garnished with ghee-roasted cashews and served hot.",https://www.licious.in/blog/wp-content/uploads/2022/06/mutton-hyderabadi-biryani-01.jpg,210
Chole Bhature,"A popular North Indian dish consisting of spicy chickpea curry (chole) served with fluffy deep-fried bread (bhature), often enjoyed as a hearty meal or brunch.",https://www.licious.in/blog/wp-content/uploads/2022/06/mutton-hyderabadi-biryani-01.jpg,240
Mysore Masala Dosa,"A variation of masala dosa where the dosa is smeared with a spicy red chutney (Mysore chutney) and filled with a potato masala, a specialty of Karnataka.",https://www.licious.in/blog/wp-content/uploads/2022/06/mutton-hyderabadi-biryani-01.jpg,180
Rasam,"A tangy and spicy South Indian soup made with tamarind, tomatoes, lentils, and a blend of spices, often served as a comforting appetizer or part of a meal.",https://www.licious.in/blog/wp-content/uploads/2022/06/mutton-hyderabadi-biryani-01.jpg,120
Pani Puri,"A popular street food snack made with crispy hollow puris filled with a spicy and tangy mixture of tamarind water, potatoes, chickpeas, and chaat masala.",https://www.licious.in/blog/wp-content/uploads/2022/06/mutton-hyderabadi-biryani-01.jpg,100
Dahi Vada,"Soft and fluffy lentil dumplings soaked in creamy and tangy yogurt, garnished with a mix of sweet and spicy chutneys, a popular North Indian snack.",https://www.licious.in/blog/wp-content/uploads/2022/06/mutton-hyderabadi-biryani-01.jpg,150
Vada Pav,"A spicy and flavorful potato fritter (vada) served in a soft bun (pav) with a variety of chutneys, a popular street food snack from Mumbai.",https://www.licious.in/blog/wp-content/uploads/2022/06/mutton-hyderabadi-biryani-01.jpg,120
,
